Line #,Key,en Version,ka Translation
812,ka.datasets.highlights.instructions,"Highlights are visuals (charts and maps) that highlight interesting aspects of your dataset and are shown on the dashboard page and the home page.

To add a highlight, go to the explore page, select the indicators you want, and then in the charts that appear click the star button in the top left corner.

You can use this page to quickly remove highlights or to indicate which highlight to always show on the home page - only one highlight from all datasets and time series can be selected for this.
","გამორჩეული წარმოადგენს ვიზუალს (გრაფები და რუკები) რომელიც თქვენი მონაცემების საინტერესო ასპექტებს უსვამს ხაზს და ნაჩვენებია მთავარ გვერდზე და dashboard-ზე.

გამორჩეულების დასამატებლად, გადადით მონაცემთა გაცნობის გვერდზე, აირჩიეთ სასურველი ინდიკატორი და შემდეგ გამოჩენილ გრაფიკში დააჭირეთ ვარსკვლავის ღილაკს, რომელიც განთავსებულია ზედა მარცხენა კუთხეში.

თქვენ შეგიძლიათ გამოიყენოთ ეს გვერდი გამორჩეულის მარტივად წასაშლელად ან იმის მისათითებლად თუ რომელი გამორჩეული იყოს მთავარ გვერდზე მუდმივად ნაჩვენები - ყველა ცხრილიდან მხოლოდ ერთი გამორჩეული შეიძლება იყოს არჩეული.
"
813,ka.datasets.highlights.no_highlights,There are no highlights on file for this dataset.,ფაილში ამ ცხრილისთვის არ არის გამორჩეული
814,ka.datasets.highlights.question_code,Question,კითხვა
815,ka.datasets.highlights.broken_down_by_code,Broken Down By,ჩაშლილია
816,ka.datasets.highlights.filtered_by_code,Filtered By,გაფილტრულია
817,ka.datasets.highlights.show_home_page,Permanently Shown on Home Page,Permanently Shown on Home Page
818,ka.datasets.highlights.btn_show_home_page,Permanently Show on Home Page,Permanently Show on Home Page
819,ka.datasets.highlights.questions,Questions,Questions
820,ka.datasets.highlights.description,Description,Description
821,ka.datasets.download_data.title,Download Complete Dataset,Download Complete Dataset
822,ka.datasets.download_data.instructions,"You can use this page to download the entire dataset in any format you desire.

This download is different than what is on the dashboard page in that this download includes the entire dataset, whereas the download from the dashboard page only includes the data that you have indicated can be downloaded by the public.
","You can use this page to download the entire dataset in any format you desire.

This download is different than what is on the dashboard page in that this download includes the entire dataset, whereas the download from the dashboard page only includes the data that you have indicated can be downloaded by the public.
"
823,ka.datasets.download_data.no_files,The download files have not been generated yet. Please check back soon.,The download files have not been generated yet. Please check back soon.
824,ka.datasets.download_data.generating_text,"The download files are being generated.

This may take a couple minutes if this is a large dataset.

This page will reload when the processing is complete.
","The download files are being generated.

This may take a couple minutes if this is a large dataset.

This page will reload when the processing is complete.
"
825,ka.datasets.sort.title,Sort Groups and Questions,Sort Groups and Questions
826,ka.datasets.sort.explanation,"This page allows you to sort all groups and questions into the order that you desire.

By defualt, the question sort order is set to be the same as the order of the questions in the data file.

When groups are added, the group sort order is initially set so the groups appear at the top of the list.

If you have created groups, you can view and sort the items in that group by clicking on the button in the last column in the table.
","This page allows you to sort all groups and questions into the order that you desire.

By defualt, the question sort order is set to be the same as the order of the questions in the data file.

When groups are added, the group sort order is initially set so the groups appear at the top of the list.

If you have created groups, you can view and sort the items in that group by clicking on the button in the last column in the table.
"
827,ka.datasets.sort.move_explanation,Move the selected items after this item,Move the selected items after this item
828,ka.datasets.sort.move_placeholder,Select an Item,Select an Item
829,ka.datasets.sort.headers.sort,Sort Order,Sort Order
830,ka.datasets.sort.headers.type,Item Type,Item Type
831,ka.datasets.sort.headers.name,Item Name,Item Name
832,ka.datasets.sort.breadcrumb_start,Main Items,Main Items
833,ka.datasets.sort.breadcrumb_title,View all of the main items,View all of the main items
834,ka.datasets.sort.breadcrumb_title_group,View the items in this group,View the items in this group
