Line #,Key,en Version,ka Translation
418,ka.app.msgs.question_exclude_not_saved,An error occurred while saving the exclude question selections.,An error occurred while saving the exclude question selections.
419,ka.app.msgs.answer_exclude_saved,Exclude answer selections were saved.,Exclude answer selections were saved.
420,ka.app.msgs.answer_exclude_not_saved,An error occurred while saving the exclude answer selections.,An error occurred while saving the exclude answer selections.
421,ka.app.msgs.answer_can_exclude_saved,Can exclude answer selections were saved.,Can exclude answer selections were saved.
422,ka.app.msgs.answer_can_exclude_not_saved,An error occurred while saving the can exclude answer selections.,An error occurred while saving the can exclude answer selections.
423,ka.app.msgs.mapping_saved,The question was successfully made mappable.,The question was successfully made mappable.
424,ka.app.msgs.mapping_not_save,An error occurred while making the question mappable.,An error occurred while making the question mappable.
425,ka.app.msgs.mapping_deleted,The question is no longer mappable.,The question is no longer mappable.
426,ka.app.msgs.mapping_not_deleted,The question mapping could not be deleted.,The question mapping could not be deleted.
427,ka.app.msgs.time_series_automatic_match,%{count} questions were added to your time series.,%{count} questions were added to your time series.
428,ka.app.msgs.mass_upload_questions_error,The following error occurred while processing the questions: %{msg},The following error occurred while processing the questions: %{msg}
429,ka.app.msgs.mass_upload_questions_success,%{count} questions were updated!,%{count} questions were updated!
430,ka.app.msgs.mass_upload_answers_error,The following error occurred while processing the answers: %{msg},The following error occurred while processing the answers: %{msg}
431,ka.app.msgs.mass_upload_answers_success,%{count} answers were updated!,%{count} answers were updated!
432,ka.app.msgs.highlight_show_home_page_success,The highlight will now always appear on the home page.,The highlight will now always appear on the home page.
433,ka.app.msgs.highlight_deleted,The highlight has been deleted.,The highlight has been deleted.
434,ka.app.msgs.explore_error,An error occurred while processing your request.,An error occurred while processing your request.
435,ka.app.msgs.user_settings_updated,Your settings were successfully updated.,Your settings were successfully updated.
436,ka.app.msgs.api_key_created,Your API Access Token was successfully created.,Your API Access Token was successfully created.
437,ka.app.msgs.api_key_deleted,Your API Access Token was successfully deleted.,Your API Access Token was successfully deleted.
438,ka.app.msgs.missing_user_info,We have made some changes to the site that require you to update your user settings. Sorry for the inconvenience.,We have made some changes to the site that require you to update your user settings. Sorry for the inconvenience.
439,ka.app.menu.explore_data,Explore Data,Explore Data
440,ka.app.menu.explore_time_series,Explore Time Series,Explore Time Series
441,ka.app.menu.datasets,Datasets,Datasets
442,ka.app.menu.time_series,Time Series,Time Series
443,ka.app.menu.user_settings,User Settings,User Settings
444,ka.app.menu.about_dataset,About,About
445,ka.app.menu.about_time_series,About,About
446,ka.app.menu.all_datasets,All Datasets,All Datasets
447,ka.app.menu.all_time_series,All Time Series,All Time Series
448,ka.app.menu.contact,Contact,Contact
449,ka.app.menu.api,API,API
450,ka.app.menu.instructions,Instructions,Instructions
451,ka.app.menu.home,Home,Home
452,ka.app.menu.disclaimer,Notes,Notes
453,ka.app.menu.titles.explore_dataset,"Explore the dataset data through charts, maps and tables","Explore the dataset data through charts, maps and tables"
454,ka.app.menu.titles.explore_time_series,Explore the time series data through charts and tables,Explore the time series data through charts and tables
455,ka.app.menu.titles.dataset_to_time_series,Explore this dataset as part of a time series,Explore this dataset as part of a time series
456,ka.app.menu.admin_dataset.explore_data,Explore Data,Explore Data
457,ka.app.menu.admin_dataset.heading,Dataset Options,Dataset Options
458,ka.app.menu.admin_dataset.settings,Settings,Settings
459,ka.app.menu.admin_dataset.qa,Edit Questions/Answers,Edit Questions/Answers
460,ka.app.menu.admin_dataset.highlights,Highlights,Highlights
461,ka.app.menu.admin_dataset.warnings,Warnings,Warnings
462,ka.app.menu.admin_dataset.mappable,Make Mappable,Make Mappable
463,ka.app.menu.admin_dataset.can_exlucde_answers,Answers Can Be Excluded,Answers Can Be Excluded
464,ka.app.menu.admin_dataset.exlucde_answers,Exclude Answers,Exclude Answers
465,ka.app.menu.admin_dataset.exclude_questions,Exclude Questions,Exclude Questions
466,ka.app.menu.admin_dataset.delete,Delete,Delete
467,ka.app.menu.admin_dataset.private_share,Share Private Dataset,Share Private Dataset
468,ka.app.menu.admin_dataset.mass_changes,Mass Changes,Mass Changes
469,ka.app.menu.admin_time_series.explore_data,Explore Data,Explore Data
470,ka.app.menu.admin_time_series.heading,Time Series Options,Time Series Options
471,ka.app.menu.admin_time_series.settings,Settings,Settings
472,ka.app.menu.admin_time_series.qa,Edit Questions/Answers,Edit Questions/Answers
473,ka.app.menu.admin_time_series.highlights,Highlights,Highlights
474,ka.app.menu.admin_time_series.warnings,Warnings,Warnings
475,ka.app.menu.admin_time_series.delete,Delete,Delete
476,ka.app.menu.admin_time_series.private_share,Share Private Time Series,Share Private Time Series
477,ka.user.age_group.g1,17-24,17-24
478,ka.user.age_group.g2,25-34,25-34
479,ka.user.age_group.g3,35-44,35-44
480,ka.user.age_group.g4,45-54,45-54
481,ka.user.age_group.g5,55-64,55-64
482,ka.user.age_group.g6,above (>65),above (>65)
483,ka.user.status.researcher,Researcher,Researcher
484,ka.user.status.student,Student,Student
485,ka.user.status.journalist,Journalist,Journalist
486,ka.user.status.ngo,NGO,NGO
487,ka.user.status.government_official,Government Official,Government Official
488,ka.user.status.international_organization,International Organization,International Organization
489,ka.user.status.private_sector,Private Sector,Private Sector
490,ka.user.status.other,Other,Other
491,ka.user.wanna_account,"Tired of filling out this form? To avoid this form in the future, create an account.","დაიღალეთ ამ ფორმის შევსებით? მომავალში მისი თავიდან აცილების მიზნის, შექმენით ანგარიში."
492,ka.layouts.nav.toggle,Toggle navigation,ნავიგაციის ჩართვა/გამორთვა
493,ka.layouts.nav.back,Back to UNICEF.ge,Back to UNICEF.ge
494,ka.layouts.explore_data.private_share_header,Privately Share '%{title}',Privately Share '%{title}'
495,ka.layouts.explore_data.private_share_explanation,"You can copy and share the following URL with whomever you want to view '%{title}' even though your dataset is not shared with the public. These people will have the ability to explore your data, but not edit it.","You can copy and share the following URL with whomever you want to view '%{title}' even though your dataset is not shared with the public. These people will have the ability to explore your data, but not edit it."
496,ka.layouts.unsupported_browser.title,Unsupported Browser,არასათანადო ბრაუზერი
497,ka.layouts.unsupported_browser.p1,We are sorry to report that your browser is out of date and will not properly render the content from this website.,სამწუხაროდ თქვენი ინტერნეტ ბრაუზერის მოხმარების ვადა გასულია და ვერ მოხდება ვებ-გვერდთან სრულად დაკავშირება.
498,ka.layouts.unsupported_browser.p2,"On the bright side, there are several free browsers that you can download that are compatible with this site.",არსებობს რამდენიმე უფასო ბრაუზერი რომელის გადმოწერის შემდეგ შეძლებთ ვებ-გვერდით სარგებლობას.
499,ka.layouts.unsupported_browser.chrome,Chrome,Chrome
500,ka.layouts.unsupported_browser.firefox,Firefox,Firefox
501,ka.layouts.unsupported_browser.ie,Internet Explorer (Windows only),Internet Explorer (მხოლოდ Windows-ზე)
502,ka.layouts.unsupported_browser.opera,Opera,Opera
503,ka.layouts.unsupported_browser.Safari,Safari,Safari
504,ka.admin.index.title,Administration Section,ადმინისტრატორის განყოფილება
505,ka.admin.index.users,Users,მომხმარებლები
506,ka.admin.index.page_contents,Edit Text on Site,საიტზე ტექსტის რედაქტირება
507,ka.admin.index.datasets,Datasets,Datasets
508,ka.admin.index.shapesets,Shapesets,Shapesets
509,ka.admin.index.api_documentation,API Version Documentation,API Version Documentation
510,ka.admin.index.download_api_requests,Download API Request History,Download API Request History
511,ka.admin.index.download_download_requests,Download Download Request History,Download Download Request History
512,ka.admin.users.edit.title,Editing User,ცვლილებების შეტანა მომხმარებლის გვერდზე
513,ka.admin.users.index.title,Users,მომხმარებლები
514,ka.admin.users.new.title,New User,ახალი მომხმარებელი
515,ka.admin.users.show.title,User Details,მომხმარებლის დეტალები
516,ka.devise.mailer.reset_password_instructions.title,Hello %{nickname}!,"მოგესალმებით, %{nickname}!"
517,ka.devise.mailer.reset_password_instructions.p1,"Someone has requested a link to change your password on %{app_name}, and you can do this through the link below.","მივიღეთ მოთხოვნა ""%{app_name}"" თქვენი პაროლის შეცვლის შესახებ. პაროლის შესაცვლელად, მიჰყევით შემდეგ ბმულს."
518,ka.devise.mailer.reset_password_instructions.link_title,Change my password,პაროლის შეცვლა
519,ka.devise.mailer.reset_password_instructions.p2,"If you didn't request this, please ignore this email.","თუ თქვენ არ მოგითხოვიათ პაროლის შეცვლა, გთხოვთ, არ მიაქციოთ ყურადღება ამ შეტყობინებას."
520,ka.devise.mailer.reset_password_instructions.p3,Your password won't change until you access the link above and create a new one.,"თქვენი პაროლი იგივე დარჩება, სანამ არ გადახვალთ ზემოთ მითითებულ ბმულზე და შექმნით ახალ პაროლს."
521,ka.embed.v1.index.title_site,Go to %{app_name},Go to %{app_name}
522,ka.embed.v1.index.title_datalist,View All Datasets,View All Datasets
523,ka.settings.index.title,User Settings,User Settings
524,ka.settings.index.tabs.settings,Settings,Settings
525,ka.settings.index.tabs.api,API Access Tokens,API Access Tokens
526,ka.settings.index.api_explanation1,"The API allows you to programmatically get information and run analyses on the datasets and time series available on this site. All API calls require an access token - a key that let's us know who is making the request. To get one, simply press the button below.","The API allows you to programmatically get information and run analyses on the datasets and time series available on this site. All API calls require an access token - a key that let's us know who is making the request. To get one, simply press the button below."
527,ka.settings.index.api_link_text,API Documentation section,API Documentation section
528,ka.settings.index.api_explanation2,You can learn more about the API and how to use the Access Token by going to the [link].,You can learn more about the API and how to use the Access Token by going to the [link].
529,ka.settings.index.no_api_keys,You do not have any API Access Tokens on file.,You do not have any API Access Tokens on file.
530,ka.settings.index.get_api,Get API Access Token,Get API Access Token
531,ka.settings.index.delete_api,Delete API Access Token,Delete API Access Token
532,ka.root.index.header_latest_datasets,Latest Datasets,Latest Datasets
533,ka.root.index.no_datasets,"At this time, no datasets have been loaded into the site.","At this time, no datasets have been loaded into the site."
534,ka.root.index.header_latest_time_series,Latest Time Series,Latest Time Series
535,ka.root.index.no_time_series,"At this time, no time series have been created in the site.","At this time, no time series have been created in the site."
536,ka.root.index.wms_title,Welfare <br />Monitoring Survey,Welfare <br />Monitoring Survey
537,ka.root.index.wms_slogan,Explore something over time....,Explore something over time....
538,ka.root.index.header_highlights,Highlights,Highlights
539,ka.root.index.header_categories,Browse Categories,Browse Categories
540,ka.root.index.search_datasets,Search Datasets,Search Datasets
541,ka.root.contact.title,Contact,Contact
542,ka.root.contact.message_sent,Thank you for contacting us!,Thank you for contacting us!
543,ka.root.contact.send,Send,Send
544,ka.root.contact.error_title,An error has occurred,An error has occurred
545,ka.root.instructions.title,Instructions,Instructions
